"torneo","home_team","away_team","home_goals","away_goals","resultado"
"Metropolitano 1976 - Grupo Descenso","Banfield","All Boys",1,2,"Visita gana"
"Metropolitano 1976 - Grupo A","Banfield","All Boys",1,0,"Local gana"
"Metropolitano 1976 - Grupo A","All Boys","Banfield",2,2,"Empate"
"Metropolitano 1975 - Fecha 29","All Boys","Banfield",3,5,"Visita gana"
"Metropolitano 1975 - Fecha 10","Banfield","All Boys",2,2,"Empate"
"Metropolitano 1974 - Grupo A","All Boys","Banfield",1,0,"Local gana"
"Metropolitano 1974 - Grupo A","Banfield","All Boys",0,0,"Empate"
"Nacional 1974 - Grupo A","Banfield","All Boys",4,2,"Local gana"
"Nacional 1974 - Grupo A","All Boys","Banfield",3,0,"Local gana"
"Torneo Final 2014 - Fecha 19","All Boys","Belgrano",0,0,"Empate"
"Torneo Inicial 2013 - Fecha 19","Belgrano","All Boys",1,0,"Local gana"
"Torneo Final 2013 - Fecha 11","Belgrano","All Boys",0,1,"Visita gana"
"Torneo Inicial 2012 - Fecha 11","All Boys","Belgrano",1,0,"Local gana"
"Torneo Clausura 2012 - Fecha 1","Belgrano","All Boys",0,0,"Empate"
"Torneo Apertura 2011 - Fecha 1","All Boys","Belgrano",1,1,"Empate"
"Nacional 1977 - Grupo D","Belgrano","All Boys",5,2,"Local gana"
"Nacional 1977 - Grupo D","All Boys","Belgrano",1,1,"Empate"
"Nacional 1974 - Grupo A","All Boys","Belgrano",0,2,"Visita gana"
"Nacional 1974 - Grupo A","Belgrano","All Boys",6,1,"Local gana"
"Torneo Final 2014 - Fecha 17","All Boys","Boca Juniors",1,3,"Visita gana"
"Torneo Inicial 2013 - Fecha 17","Boca Juniors","All Boys",0,2,"Visita gana"
"Torneo Final 2013 - Fecha 3","All Boys","Boca Juniors",2,0,"Local gana"
"Torneo Inicial 2012 - Fecha 3","Boca Juniors","All Boys",3,1,"Local gana"
"Torneo Clausura 2012 - Fecha 19","All Boys","Boca Juniors",3,1,"Local gana"
"Torneo Apertura 2011 - Fecha 19","Boca Juniors","All Boys",1,0,"Local gana"
"Torneo Clausura 2011 - Fecha 3","Boca Juniors","All Boys",0,0,"Empate"
"Torneo Apertura 2010 - Fecha 3","All Boys","Boca Juniors",2,0,"Local gana"
"Metropolitano 1980 - Fecha 38","All Boys","Boca Juniors",0,1,"Visita gana"
"Metropolitano 1980 - Fecha 19","Boca Juniors","All Boys",1,1,"Empate"
"Metropolitano 1979 - Grupo B","All Boys","Boca Juniors",1,0,"Local gana"
"Metropolitano 1979 - Grupo B","Boca Juniors","All Boys",2,0,"Local gana"
"Metropolitano 1978 - Fecha 34","All Boys","Boca Juniors",0,0,"Empate"
"Metropolitano 1978 - Fecha 13","Boca Juniors","All Boys",3,0,"Local gana"
"Metropolitano 1977 - Fecha 31","All Boys","Boca Juniors",1,0,"Local gana"
"Metropolitano 1977 - Fecha 8","Boca Juniors","All Boys",5,1,"Local gana"
"Metropolitano 1976 - Grupo A","All Boys","Boca Juniors",1,2,"Visita gana"
"Metropolitano 1976 - Grupo A","Boca Juniors","All Boys",2,0,"Local gana"
"Metropolitano 1975 - Fecha 37","Boca Juniors","All Boys",7,0,"Local gana"
"Metropolitano 1975 - Fecha 18","All Boys","Boca Juniors",1,2,"Visita gana"
"Nacional 1974 - Grupo A","Boca Juniors","All Boys",2,1,"Local gana"
"Nacional 1974 - Grupo A","All Boys","Boca Juniors",1,1,"Empate"
"Metropolitano 1973 - Fecha 19","All Boys","Boca Juniors",1,7,"Visita gana"
